cve_id,true_label,predicted_risk,epss_score
CVE-2023-29146,0,0.8163525844641146,0.00123
CVE-2026-35288,0,0.8163525844641146,0.00187
CVE-2025-4421,0,0.8163525844641146,0.00195
CVE-2025-10451,0,0.8163525844641146,0.00129
CVE-2025-7026,0,0.8163525844641146,0.00199
CVE-2025-4422,0,0.8163525844641146,0.00182
CVE-2026-46865,0,0.8163525844641146,0.00168
CVE-2025-7027,0,0.8163525844641146,0.00199
CVE-2025-7029,0,0.8163525844641146,0.00192
CVE-2025-22225,1,0.8163525844641146,0.00963
CVE-2024-7344,0,0.8163525844641146,0.01036
CVE-2025-32091,0,0.8163525844641146,0.00126
CVE-2025-43884,0,0.8163525844641146,0.00474
CVE-2026-50680,0,0.8163525844641146,0.00359
CVE-2024-54027,0,0.8163525844641146,0.00148
CVE-2025-62590,0,0.8163525844641146,0.00187
CVE-2025-62641,0,0.8163525844641146,0.00187
CVE-2024-52541,0,0.8163525844641146,0.00156
CVE-2026-45476,0,0.8163525844641146,0.00324
CVE-2025-62587,0,0.8163525844641146,0.00184
CVE-2026-21990,0,0.8163525844641146,0.00196
CVE-2025-62588,0,0.8163525844641146,0.00191
CVE-2025-62589,0,0.8163525844641146,0.00191
CVE-2026-4740,0,0.8163525844641146,0.00112
CVE-2026-21988,0,0.8163525844641146,0.00196
CVE-2026-21987,0,0.8163525844641146,0.00196
CVE-2026-46728,0,0.8163525844641146,0.00127
CVE-2025-25210,0,0.8163525844641146,0.00115
CVE-2026-47652,0,0.8163525844641146,0.00341
CVE-2025-4423,0,0.8163525844641146,0.00182
CVE-2025-36014,0,0.8163525844641146,0.00217
CVE-2024-44250,0,0.8163525844641146,0.00155
CVE-2026-44712,0,0.8163525844641146,0.00154
CVE-2024-21925,0,0.8163525844641146,0.00202
CVE-2025-58325,0,0.8163525844641146,0.00288
CVE-2024-21924,0,0.8163525844641146,0.00208
CVE-2024-56182,0,0.8163525844641146,0.00204
CVE-2024-56181,0,0.8163525844641146,0.00204
CVE-2025-61553,0,0.8163525844641146,0.00196
CVE-2026-33243,0,0.8163525844641146,0.00108
CVE-2024-0179,0,0.8163525844641146,0.00202
CVE-2025-36600,0,0.8163525844641146,0.00172
CVE-2025-47809,0,0.8163525844641146,0.00135
CVE-2026-53657,0,0.8163525844641146,0.00197
CVE-2025-27493,0,0.8163525844641146,0.00169
CVE-2026-34259,0,0.8163525844641146,0.00199
CVE-2025-3052,0,0.8163525844641146,0.00347
CVE-2023-31276,0,0.8163525844641146,0.00236
CVE-2023-43758,0,0.8163525844641146,0.0027
CVE-2025-59292,0,0.8163525844641146,0.00411
CVE-2026-35071,0,0.8163525844641146,0.0046
CVE-2025-59291,0,0.8163525844641146,0.00411
CVE-2026-31788,0,0.8163525844641146,0.00154
CVE-2026-21956,0,0.8163525844641146,0.00264
CVE-2026-21955,0,0.8163525844641146,0.00264
CVE-2025-43917,0,0.8163525844641146,0.00146
CVE-2026-41010,0,0.8163525844641146,0.00122
CVE-2025-53024,0,0.8163525844641146,0.00238
CVE-2026-24088,0,0.8163525844641146,0.00071
CVE-2025-65001,0,0.8163525844641146,0.00145
CVE-2026-41011,0,0.8163525844641146,0.00116
CVE-2024-13484,0,0.8163525844641146,0.00218
CVE-2025-33045,0,0.8163525844641146,0.00149
CVE-2025-53027,0,0.8163525844641146,0.00233
CVE-2025-53028,0,0.8163525844641146,0.00233
